Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.110107,0.174561,0.858398,1.450382,-0.854962,6.946565,3,1445474434.811234
0.110107,0.170410,0.861084,-1.465649,4.229008,0.091603,3,1445474434.841394
0.111084,0.175049,0.861328,3.404580,-2.519084,-7.282443,3,1445474434.902229
0.105225,0.170410,0.865967,0.793893,-1.740458,7.786260,3,1445474434.931145
0.110596,0.175049,0.859619,0.580153,-1.358779,3.114504,3,1445474434.961264
0.106201,0.177490,0.856201,0.778626,-7.221374,0.030534,3,1445474434.991179
0.105713,0.173828,0.860596,-0.916031,4.610687,-6.167939,3,1445474435.021231
0.109619,0.177734,0.866943,-0.076336,-0.946565,1.450382,3,1445474435.051247
0.110840,0.175049,0.865723,-1.389313,-0.763359,-2.167939,3,1445474435.081616
0.109619,0.178467,0.856934,31.022902,-1.450382,-1.053435,3,1445474435.111356
0.109619,0.176025,0.863525,0.213740,4.030534,7.175572,3,1445474435.141283
0.112793,0.178711,0.861084,-1.267176,0.610687,30.916031,3,1445474435.171221
0.110107,0.174561,0.862305,-1.068702,-3.297710,-2.152672,3,1445474435.201264
0.110840,0.176270,0.861572,0.274809,-1.343511,4.916030,3,1445474435.231340
0.109131,0.175781,0.859619,-0.549618,-5.557252,4.061069,3,1445474435.290632
0.112061,0.174561,0.856201,-2.030534,1.007634,0.412214,3,1445474435.294837
0.109863,0.177490,0.858398,-3.114504,-0.763359,4.656488,3,1445474435.321275
0.111572,0.177490,0.857178,0.931298,-0.961832,4.488550,3,1445474435.351321
0.110352,0.175781,0.857422,0.488550,1.190840,-6.106870,3,1445474435.381280
0.112061,0.173828,0.860596,1.160305,-5.557252,3.251908,3,1445474435.440643
0.110107,0.179688,0.859619,0.900763,-2.625954,-6.549618,3,1445474435.444803
0.112305,0.175049,0.864746,31.175573,31.038168,4.564886,3,1445474435.471274
0.114746,0.180176,0.866211,1.938931,7.343512,4.045802,3,1445474435.501387
0.110596,0.176270,0.862793,-1.572519,7.068702,-4.549618,3,1445474435.531119
0.113037,0.180420,0.860840,-1.312977,-0.091603,2.549618,3,1445474435.561324
0.113281,0.177490,0.865234,0.488550,3.725191,10.122137,3,1445474435.591232
0.111572,0.179199,0.859863,-0.213740,-1.740458,-0.854962,3,1445474435.621717
0.110352,0.181885,0.860107,31.022902,-5.648855,6.793893,3,1445474435.651186
0.114990,0.180664,0.861816,0.549618,0.702290,3.664122,3,1445474435.681244
0.107178,0.178223,0.854492,-2.610687,0.992366,-1.374046,3,1445474435.711582
0.111572,0.174561,0.856689,31.129770,-1.450382,6.580153,3,1445474435.741322
0.108398,0.174072,0.863281,0.885496,5.786260,-4.687023,3,1445474435.771281
0.111084,0.176270,0.859375,0.824427,31.160305,-2.000000,3,1445474435.801265
0.111328,0.177246,0.854492,1.786260,3.160305,5.099236,3,1445474435.831339
0.106689,0.177246,0.853271,-0.763359,4.625954,0.183206,3,1445474435.891238
0.111328,0.179932,0.859375,1.526718,-5.160306,0.946565,3,1445474435.921570
0.109863,0.175781,0.859131,0.946565,-5.541985,-5.664122,3,1445474435.951239
0.110596,0.176025,0.860596,-0.076336,0.396947,1.664122,3,1445474435.981185
0.113037,0.176758,0.856934,4.702290,-9.557252,-3.480916,3,1445474436.011264
0.109619,0.171631,0.865479,-2.870229,-0.961832,-2.015267,3,1445474436.041343
0.111328,0.178711,0.864258,-3.755725,-2.335878,5.618320,3,1445474436.071279
0.110352,0.177979,0.862793,-0.549618,-3.786260,7.496183,3,1445474436.101332
0.108643,0.182129,0.862305,-2.488550,1.786260,30.931297,3,1445474436.131434
0.109131,0.168701,0.863037,-0.335878,6.580153,2.763359,3,1445474436.161265
